Заказы,Выручка,Цена,Скидка,Рейтинг,Наличие (%),Рейтинг продавца,Отзывы о бренде,Дней в акциях,Средняя видимость,Основной склад,Уровень лояльности,Доставка_ЮФО_(ч),Доставка_ПФО_(ч),Доставка_УФО_(ч),Доставка_ДФО_(ч),Доставка_СФО_(ч),Доставка_СЗФО_(ч),Доставка_ЦФО_(ч),Ср время доставки (ч),Количество показов,Участвует в акциях,Количество отзывов
665,1731817,2638.47,59.93,4.8,96.7741935483871,4.745,528542,29,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,110647.0,1,388.0
1152,2946789,2654.4,59.83,4.7,96.7741935483871,4.497866666666667,3448806,29,1,Коледино,Серебряный,66,21,38,164,18,36,21,52,216390.0,1,120.0
6,42899,6190.14,43.57,5.0,22.580645161290324,4.679545454545455,1701190,4,1,Электросталь,Нет данных,67,31,55,180,77,40,25,67,987.0,1,1.0
266,877012,3298.63,72.57,4.5,96.7741935483871,0.0,0,29,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,186295.0,1,414.0
298,323441,1128.07,74.2,4.6,96.7741935483871,0.0,0,30,1,Санкт-Петербург (Уткина Заводь),Начальный,66,21,38,169,65,36,21,59,16479.0,1,176.0
37,151184,4117.97,67.4,4.6,96.7741935483871,4.47,137583,30,1,Подольск,Начальный,65,21,38,169,65,35,20,59,84847.0,1,112.0
368,682257,1843.93,79.23,4.9,96.7741935483871,4.9,2187185,29,2,Санкт-Петербург (Уткина Заводь),Бронзовый,66,21,38,169,65,36,21,59,179124.0,1,267.0
39,29450,831.13,74.43,4.9,96.7741935483871,3.91,55635209,29,2,Санкт-Петербург (Уткина Заводь),Нет данных,66,21,38,169,65,36,21,59,260984.0,1,26.0
11,28822,2665.87,64.9,4.5,96.7741935483871,4.45,230314,30,1,Коледино,Нет данных,66,21,38,164,18,36,21,52,37402.0,1,409.0
116,464222,4092.73,70.93,4.8,96.7741935483871,0.0,0,29,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,307608.0,1,12.0
414,345709,846.87,53.13,4.9,96.7741935483871,4.76,1380672,29,2,Невинномысск,Начальный,66,21,38,164,18,36,21,52,37882.0,1,738.0
0,0,951.97,71.47,4.9,96.7741935483871,4.74,325107,20,2,Тула,Нет данных,66,21,38,169,65,36,21,59,714.0,1,63.0
167,375645,2271.4,22.6,4.7,96.7741935483871,4.92,29275097,29,2,Коледино,Начальный,66,21,38,164,18,36,21,52,71921.0,1,839.0
766,986050,1294.1,41.13,4.9,96.7741935483871,4.775,10500534,28,1,Невинномысск,Бронзовый,66,21,38,164,18,36,21,52,627990.0,1,113.0
45,129077,3022.67,56.4,4.1,96.7741935483871,4.375,26329,30,2,Коледино,Начальный,66,21,38,169,65,36,21,59,23938.0,1,816.0
116,474568,4179.9,67.8,5.0,96.7741935483871,4.47,525946,28,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,21656.0,1,6.0
212,220885,1221.73,54.73,4.9,96.7741935483871,4.562,32233490,29,1,Рязань (Тюшевское),Начальный,66,21,38,164,18,36,21,52,495460.0,1,103.0
595,596298,1006.3,71.6,4.7,96.7741935483871,4.36,492607,29,2,Новосибирск,Бронзовый,65,21,38,164,18,35,20,51,24044.0,1,554.0
448,950304,2218.8,57.37,4.5,96.7741935483871,4.49,815261,25,1,Коледино,Бронзовый,66,21,38,164,18,36,21,52,122840.0,1,357.0
89,211850,2615.13,51.77,4.8,96.7741935483871,4.77,73476,28,2,Невинномысск,Начальный,66,21,38,169,65,36,21,59,62483.0,1,329.0
2,1079,1759.06,38.0,0.0,51.61290322580645,4.87,30275953,8,2,Тула,Нет данных,75,21,38,169,65,59,39,66,27462.0,1,0.0
549,942146,1732.17,75.47,5.0,96.7741935483871,4.308125,6005481,29,1,Коледино,Бронзовый,66,21,38,169,65,36,21,59,14126.0,1,40.0
503,1977344,3994.1,43.7,4.6,96.7741935483871,4.695,3949662,28,2,Подольск,Серебряный,65,21,38,164,18,35,20,51,1125374.0,1,2479.0
2489,3119641,1258.27,61.63,4.8,96.7741935483871,4.768,7035998,28,2,Новосибирск,Серебряный,66,21,38,164,18,36,21,52,1623112.0,1,964.0
50,159324,3411.9,37.87,0.0,96.7741935483871,4.595,251462,28,2,Коледино,Начальный,66,21,38,169,65,36,21,59,68083.0,1,0.0
193,539897,2909.03,13.83,5.0,96.7741935483871,4.7,337491,7,2,Коледино,Бронзовый,66,21,38,164,18,36,21,52,39187.0,1,3.0
1345,1838746,1378.47,51.83,4.8,96.7741935483871,4.57,1449092,29,2,Краснодар (Тихорецкая),Бронзовый,66,21,38,164,18,36,21,52,810561.0,1,587.0
10,58538,5904.13,52.67,4.8,96.7741935483871,2.815,3150690,25,2,Котовск,Начальный,66,21,38,164,18,36,21,52,14534.0,1,511.0
41,79764,1954.77,67.63,5.0,96.7741935483871,4.78,108472,28,2,Невинномысск,Начальный,66,21,38,169,65,36,21,59,31010.0,1,6.0
1576,5144029,3278.43,62.83,4.5,96.7741935483871,4.554,1002614,29,1,Коледино,Серебряный,66,21,38,164,18,36,21,52,76207.0,1,1856.0
233,985577,4377.93,58.13,4.4,96.7741935483871,0.0,0,30,2,Подольск,Бронзовый,65,21,38,169,65,35,20,59,139043.0,1,76.0
151,467009,3052.73,63.53,4.9,96.7741935483871,4.308125,6005481,25,2,Подольск,Бронзовый,65,21,38,164,18,35,20,51,9011.0,1,49.0
197,561482,2862.07,74.13,4.7,96.7741935483871,4.795,175525,29,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,132830.0,1,63.0
1094,1330550,1229.4,44.0,4.9,96.7741935483871,4.775,10500534,30,2,Невинномысск,Бронзовый,66,21,38,164,18,36,21,52,834408.0,1,544.0
67,160103,2456.56,25.44,5.0,80.64516129032258,4.92,29275097,0,2,Коледино,Начальный,66,21,38,169,65,36,21,59,40221.0,0,3.0
128,193678,1534.9,79.7,4.7,96.7741935483871,4.8,1966640,29,2,Санкт-Петербург (Уткина Заводь),Начальный,66,21,38,164,18,36,21,52,276256.0,1,120.0
8,24779,3150.8,76.2,0.0,32.25806451612903,4.84,538450,4,2,Казань,Нет данных,66,21,38,169,65,36,21,59,22208.0,1,0.0
42,106496,2745.27,69.8,4.8,96.7741935483871,4.64,11588,29,1,Коледино,Начальный,66,31,55,178,77,36,21,66,22535.0,1,74.0
5374,5810552,1082.13,56.97,4.8,96.7741935483871,4.79,12435482,29,2,Сарапул,Серебряный,65,21,38,164,18,35,20,51,2305378.0,1,4060.0
195,292032,1617.6,60.93,4.9,96.7741935483871,4.92,29275097,29,1,Подольск,Начальный,65,21,38,169,65,35,20,59,24792.0,1,183.0
1374,4097456,2964.83,55.13,4.6,96.7741935483871,4.655,76309,29,2,Электросталь,Серебряный,65,21,38,164,18,35,20,51,216610.0,1,1892.0
67,113833,1805.23,23.17,4.9,96.7741935483871,4.72,1139204,29,2,Тула,Начальный,66,21,38,169,65,36,21,59,841.0,1,53.0
109,532811,4979.03,44.67,4.9,96.7741935483871,4.83,6876,29,1,Тула,Бронзовый,66,21,38,169,65,36,21,59,409357.0,1,15.0
457,520479,1140.37,52.9,4.8,96.7741935483871,4.88,6940799,29,1,Белая дача,Бронзовый,65,21,38,164,18,35,20,51,302526.0,1,1577.0
300,958003,3264.47,65.13,4.7,96.7741935483871,4.497866666666667,3448806,29,2,Коледино,Бронзовый,66,21,38,169,65,36,21,59,10122.0,1,113.0
